energy,prob,count
5.18949588,0.001,1
5.28897673,0.001,1
5.5548423,0.001,1
5.60620967,0.001,1
5.92064834,0.001,1
5.9676254,0.001,1
6.31480245,0.001,1
6.40645205,0.001,1
6.48252116,0.001,1
6.48448136,0.001,1
6.65406296,0.001,1
6.81155405,0.001,1
7.32601085,0.001,1
7.59607788,0.001,1
7.82967742,0.001,1
7.95158323,0.001,1
8.0138056,0.001,1
8.1122629,0.001,1
8.13733276,0.001,1
8.17713059,0.001,1
8.43231214,0.001,1
8.45812946,0.001,1
8.94078149,0.001,1
9.4532272,0.001,1
9.79266213,0.001,1
9.83285902,0.001,1
9.97295336,0.001,1
10.05031013,0.001,1
10.17197147,0.001,1
10.22458362,0.002,2
10.35626285,0.001,1
10.54231399,0.001,1
10.57637947,0.001,1
10.88789096,0.001,1
11.21547946,0.001,1
11.32469182,0.001,1
11.7698223,0.001,1
11.91197892,0.001,1
12.08697479,0.001,1
12.24857308,0.001,1
12.39110666,0.001,1
12.55366732,0.001,1
12.60757667,0.001,1
13.48943201,0.001,1
13.51731534,0.001,1
13.73573577,0.001,1
14.17779687,0.001,1
14.74164953,0.001,1
15.1457769,0.001,1
15.57041972,0.001,1
15.639875,0.001,1
16.15431732,0.001,1
16.39649764,0.001,1
16.47352908,0.001,1
16.65015072,0.001,1
17.59348429,0.001,1
17.70333513,0.001,1
17.88794298,0.001,1
17.97850923,0.001,1
17.99532327,0.001,1
18.28051395,0.001,1
18.47009078,0.001,1
19.4709693,0.001,1
19.51616473,0.001,1
19.59188508,0.001,1
19.94843157,0.001,1
20.57148213,0.001,1
20.68503668,0.001,1
20.9505541,0.001,1
21.45065287,0.001,1
21.71735597,0.001,1
22.01151904,0.001,1
23.07958089,0.001,1
24.11367225,0.001,1
24.21584913,0.001,1
24.23602922,0.001,1
24.24373909,0.001,1
24.53527866,0.001,1
24.54836828,0.001,1
24.87535437,0.001,1
24.95163142,0.001,1
25.50263721,0.001,1
25.77402843,0.001,1
26.09657595,0.001,1
26.42034136,0.001,1
26.86011131,0.001,1
27.52917122,0.001,1
27.57929837,0.001,1
27.77439977,0.001,1
28.58045987,0.001,1
29.03596863,0.001,1
29.8221025,0.001,1
30.83136606,0.001,1
31.0380545,0.001,1
32.11104208,0.001,1
34.55458663,0.001,1
35.50161458,0.001,1
35.65682907,0.001,1
36.2472054,0.001,1
37.57208287,0.001,1
39.37545832,0.001,1
40.35610406,0.001,1
40.44086377,0.001,1
40.98115742,0.001,1
41.00124426,0.001,1
42.95888641,0.001,1
45.47017539,0.001,1
48.98263836,0.001,1
57.27071418,0.001,1
58.38511682,0.001,1
59.43578275,0.001,1
75.50889564,0.001,1
79.99362606,0.001,1
89.20301393,0.001,1
99.76546238,0.001,1
