energy_raw,prob,count
7.3686296,0.001,1
7.45493072,0.001,1
7.59607788,0.001,1
7.97459168,0.001,1
8.01830756,0.001,1
8.13733276,0.001,1
8.16363027,0.001,1
8.20156596,0.001,1
8.61554412,0.001,1
8.90817873,0.001,1
9.63441615,0.002,2
9.79259881,0.001,1
9.84073236,0.001,1
10.0573792,0.001,1
10.07018655,0.001,1
10.11323677,0.001,1
10.25280977,0.001,1
10.56559789,0.001,1
10.58265316,0.001,1
10.62692559,0.001,1
11.19576527,0.001,1
11.23080039,0.001,1
11.35765229,0.001,1
11.56754662,0.001,1
11.75219556,0.001,1
12.19239708,0.001,1
12.28288675,0.001,1
12.34289732,0.001,1
12.41780971,0.001,1
12.62826694,0.001,1
13.07258488,0.001,1
13.27797176,0.001,1
13.47822549,0.001,1
13.67808614,0.001,1
13.68029852,0.001,1
14.08208862,0.001,1
14.49105218,0.001,1
14.84030736,0.001,1
14.94416021,0.001,1
15.99234412,0.001,1
16.71431141,0.001,1
16.80451057,0.001,1
16.91441502,0.001,1
17.05475616,0.001,1
17.06928642,0.001,1
17.19134818,0.001,1
17.7690239,0.001,1
17.96177815,0.001,1
18.17321049,0.001,1
18.31924888,0.001,1
18.46781622,0.001,1
20.32055027,0.001,1
20.68990998,0.001,1
21.11415169,0.001,1
21.48680926,0.001,1
21.84924345,0.001,1
21.91044217,0.001,1
21.97152436,0.001,1
22.10351371,0.001,1
22.11152961,0.001,1
22.9097167,0.001,1
22.98118885,0.001,1
23.65742311,0.001,1
23.66556496,0.001,1
24.67973294,0.001,1
25.89101309,0.001,1
25.96978551,0.001,1
25.98735949,0.001,1
26.3349091,0.001,1
26.41503324,0.001,1
26.6916687,0.001,1
27.29510196,0.001,1
27.52401539,0.001,1
27.76879891,0.001,1
27.83636921,0.001,1
29.69547214,0.001,1
30.60984378,0.001,1
31.64406507,0.001,1
31.78535529,0.001,1
31.92906242,0.001,1
32.21818358,0.001,1
33.04002456,0.001,1
34.09202244,0.001,1
35.27640495,0.001,1
35.63250169,0.001,1
36.34481369,0.001,1
40.48546038,0.001,1
40.83642585,0.001,1
41.17728034,0.001,1
41.23038714,0.001,1
41.95517046,0.001,1
43.02829264,0.001,1
44.30650765,0.001,1
44.35029908,0.001,1
44.39848947,0.001,1
44.65256417,0.001,1
50.89238194,0.001,1
52.58968622,0.001,1
57.32082036,0.001,1
59.42261421,0.001,1
73.64753648,0.001,1
